id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
514,couple,514,★★★★☆,noun,一対,two people or things being together,The elderly couple walks hand in hand along the riverbank each sunset.,その高齢の夫婦は日暮れ時になるといつも手をつないで川沿いを散歩する。,I just need a couple of minutes to finish wrapping this gift.,この贈り物を包み終わるのにあと2〜3分だけ時間をちょうだい。,Add a couple of fresh mint leaves to give the iced tea a refreshing kick.,アイスティーにミントの葉を2、3枚加えると爽やかな風味になるよ。
515,act,515,★★★★☆,noun,行動する,take action,"A simple act of kindness, like holding the elevator door, brightens someone's day.",エレベーターのドアを押さえてあげるような些細な思いやりの行動が、誰かの一日を明るくする。,We must act quickly before all the fresh farmers' market berries sell out.,市場の新鮮なベリー類が売り切れてしまう前に、私たちは素早く行動しないと。,Her playful puppy acts innocent whenever he steals a warm sock.,彼女のやんちゃな子犬は、温かい靴下を盗むといつも無邪気なふり（行動）をする。
516,range,516,★★★★☆,noun,範囲、幅,the area of variation on a particular scale,This cozy tea shop offers a wide range of herbal and green teas.,この心地よいお茶屋さんでは、幅広い種類のハーブティーや緑茶を取り揃えている。,The mountain range looked majestic covered in fresh winter powder.,雪山連峰は新雪に覆われて雄大に見えた。,The temperature today is expected to range between fifteen and twenty degrees.,本日の気温は15度から20度の範囲内にとどまる見込みです。
517,quality,517,★★★★☆,noun,質、品質,how good or bad something is,Spending quality time with loved ones on weekends is priceless.,週末に大切な人たちと充実した（質の高い）時間を過ごすのは何物にも代えがたい。,You can immediately taste the superior quality of organic olive oil.,オーガニックのオリーブオイルの上質な品質は、口にすればすぐに分かる。,These sturdy leather boots will last for years thanks to their high quality.,この頑丈な革のブーツは品質が高いおかげで何年も長持ちするだろう。
518,project,518,★★★★☆,noun,企画,a planned piece of work for specific purpose,Our weekend DIY project is building wooden herb planters for the terrace.,私たちの今週末の日曜大工企画（プロジェクト）はテラス用の木製ハーブプランター作りだ。,She is deeply involved in a community garden revitalization project.,彼女は地域住民によるコミュニティガーデンの再生プロジェクトに深く携わっている。,Painting the living room walls proved to be a bigger project than expected.,リビングの壁をペンキで塗る作業は、予想以上に大がかりな企画になった。
519,round,519,★★★★☆,adjective,丸い,shaped like a circle or ball,We sat around the round wooden dining table for a festive dinner.,私たちはお祝いのディナーのために丸い木製ダイニングテーブルを囲んで座った。,"She rolled the dough into smooth, round balls for the dinner rolls.",彼女はディナーロール用に生地をなめらかな丸いボール状に丸めた。,Shall we order another round of hot hot chocolate for everyone?,みんなにもう一杯ずつ温かいホットココアを頼もうか？
520,opportunity,520,★★★★☆,noun,機会,an amount of time or a situation in which something can be done,Studying abroad for a semester gave her a wonderful opportunity to grow.,1学期間の留学は、彼女に成長するための素晴らしい機会を与えてくれた。,"Whenever you get the opportunity to visit the seaside, take a stroll.",海辺を訪れる機会があるときはいつでも、のんびり散歩するといいよ。,Cooking classes offer a great opportunity to meet fellow food lovers.,料理教室は、同じ食べ物好きの仲間と出会う絶好のチャンス（機会）を提供する。
521,road,521,★★★★☆,noun,道,a hard flat surface for people or vehicles can use,The quiet country road was lined with tall maple trees turned bright gold.,静かな田舎道には、鮮やかな黄金色に染まったカエデの高木が並んでいた。,We hit the open road early in the morning to beat the holiday traffic.,連休の渋滞を避けるため、私たちは早朝に広々とした道へ車を走らせた。,There was a little fruit stand right alongside the winding mountain road.,曲がりくねった山道沿いのすぐ脇に、小さな果物直売所があった。
522,accord,522,★★★★☆,noun,合意,a formal or official agreement,The cat stepped into the warm laundry basket of her own accord.,猫は誰に促されるでもなく自ら進んで（自発的に）温かい洗濯カゴに入った。,Their spontaneous weekend plan was in complete accord with what I wished.,彼らの急な週末プランは、まさに私が望んでいたことと完全に一致していた。,The community reached an accord on keeping the park clean and dog-friendly.,地域住民は公園を清潔で愛犬に優しい場所に保つことで合意に達した。
523,list,523,★★★★☆,noun,リスト,"a series of written names, words or numbers",Don't forget to check the grocery list before we head to the supermarket.,スーパーへ向かう前に、買い物リストを忘れずに確認してね。,She made a bucket list of cute cafes she wants to visit this autumn.,彼女はこの秋に訪れたい可愛いカフェのウィッシュリストを作った。,I've listed all the ingredients needed for Grandma's secret pasta sauce.,おばあちゃん直伝の秘伝パスタソースに必要な材料を全部リストに書き出したよ。
